player_id,RoundID,MatchID,Team Initials,Coach Name,Line-up,Player Name
1,201,1096,FRA,CAUDRON Raoul (FRA),S,Alex THEPOT
2,201,1096,MEX,LUQUE Juan (MEX),S,Oscar BONFIGLIO
3,201,1096,FRA,CAUDRON Raoul (FRA),S,Marcel LANGILLER
4,201,1096,MEX,LUQUE Juan (MEX),S,Juan CARRENO
5,201,1096,FRA,CAUDRON Raoul (FRA),S,Ernest LIBERATI
6,201,1096,MEX,LUQUE Juan (MEX),S,Rafael GARZA
7,201,1096,FRA,CAUDRON Raoul (FRA),S,Andre MASCHINOT
8,201,1096,MEX,LUQUE Juan (MEX),S,Hilario LOPEZ
9,201,1096,FRA,CAUDRON Raoul (FRA),S,Etienne MATTLER
10,201,1096,MEX,LUQUE Juan (MEX),S,Dionisio MEJIA
11,201,1096,FRA,CAUDRON Raoul (FRA),S,Marcel PINEL
12,201,1096,MEX,LUQUE Juan (MEX),S,Felipe ROSAS
13,201,1096,FRA,CAUDRON Raoul (FRA),S,Alex VILLAPLANE
14,201,1096,MEX,LUQUE Juan (MEX),S,Manuel ROSAS
15,201,1096,FRA,CAUDRON Raoul (FRA),S,Lucien LAURENT
16,201,1096,MEX,LUQUE Juan (MEX),S,Jose RUIZ
17,201,1096,FRA,CAUDRON Raoul (FRA),S,Marcel CAPELLE
18,201,1096,MEX,LUQUE Juan (MEX),S,Alfredo SANCHEZ
19,201,1096,FRA,CAUDRON Raoul (FRA),S,Augustin CHANTREL
20,201,1096,MEX,LUQUE Juan (MEX),S,Efrain AMEZCUA
21,201,1096,FRA,CAUDRON Raoul (FRA),S,Edmond DELFOUR
22,201,1096,MEX,LUQUE Juan (MEX),S,Luis PEREZ
23,201,1096,FRA,CAUDRON Raoul (FRA),N,Celestin DELMER
24,201,1096,MEX,LUQUE Juan (MEX),N,Isidoro SOTA
25,201,1096,FRA,CAUDRON Raoul (FRA),N,Andre TASSIN
26,201,1096,MEX,LUQUE Juan (MEX),N,Jesus CASTRO
27,201,1096,FRA,CAUDRON Raoul (FRA),N,Nouma ANDOIRE
28,201,1096,MEX,LUQUE Juan (MEX),N,Felipe OLIVARES
29,201,1096,FRA,CAUDRON Raoul (FRA),N,Jean LAURENT
30,201,1096,MEX,LUQUE Juan (MEX),N,Raimundo RODRIGUEZ
31,201,1096,FRA,CAUDRON Raoul (FRA),N,Emile VEINANTE
32,201,1096,MEX,LUQUE Juan (MEX),N,Roberto GAYON
33,201,1096,MEX,LUQUE Juan (MEX),N,Francisco GARZA GUTIERREZ
34,201,1090,USA,MILLAR Bob (USA),S,Jimmy DOUGLAS
35,201,1090,BEL,GOETINCK Hector (BEL),S,Arnold BADJOU
36,201,1090,USA,MILLAR Bob (USA),S,Tom FLORIE
37,201,1090,BEL,GOETINCK Hector (BEL),S,Jean DE CLERQ
38,201,1090,USA,MILLAR Bob (USA),S,Jimmy GALLAGHER
39,201,1090,BEL,GOETINCK Hector (BEL),S,Jan DIDDENS
40,201,1090,USA,MILLAR Bob (USA),S,Billy GONSALVES
41,201,1090,BEL,GOETINCK Hector (BEL),S,Auguste HELLEMANS
42,201,1090,USA,MILLAR Bob (USA),S,Bart McGHEE
43,201,1090,BEL,GOETINCK Hector (BEL),S,Nikolaas HOYDONCKX
44,201,1090,USA,MILLAR Bob (USA),S,George MOORHOUSE
45,201,1090,BEL,GOETINCK Hector (BEL),S,Jacques MOESCHAL
46,201,1090,USA,MILLAR Bob (USA),S,Bert PATENAUDE
47,201,1090,BEL,GOETINCK Hector (BEL),S,Theodore NOUWENS
48,201,1090,USA,MILLAR Bob (USA),S,Ralph TRACY
49,201,1090,BEL,GOETINCK Hector (BEL),S,Fernand ADAMS
50,201,1090,USA,MILLAR Bob (USA),S,Alexander WOOD
51,201,1090,BEL,GOETINCK Hector (BEL),S,Louis VERSYP
52,201,1090,USA,MILLAR Bob (USA),S,Andrew AULD
53,201,1090,BEL,GOETINCK Hector (BEL),S,Bernard VOORHOOF
54,201,1090,USA,MILLAR Bob (USA),S,Jim BROWN
55,201,1090,BEL,GOETINCK Hector (BEL),S,Pierre BRAINE
