"Team Name";"appearances"
"Brazil";104
"Italy";83
"Argentina";77
"Germany FR";62
"England";62
"Spain";59
"France";59
"Mexico";53
"Uruguay";51
"Netherlands";50
"Sweden";46
"Germany";44
"Belgium";41
"Yugoslavia";37
"Chile";33
"USA";33
"Switzerland";33
"Hungary";32
"Korea Republic";31
"Soviet Union";31
"Poland";31
"Czechoslovakia";30
"Austria";29
"Paraguay";27
"Bulgaria";26
"Portugal";26
"Cameroon";23
"Scotland";23
"Romania";21
"Nigeria";18
"Colombia";18
"Japan";17
"Denmark";16
"Croatia";16
"Peru";15
"Costa Rica";15
"rn"">Republic of Ireland""";13
"Algeria";13
"Northern Ireland";13
"Australia";13
"Saudi Arabia";13
"Morocco";13
"Ghana";12
"Tunisia";12
"Ecuador";10
"Turkey";10
"Greece";10
"Russia";9
"Honduras";9
"C�te d'Ivoire";9
"South Africa";9
"Norway";8
"Korea DPR";7
"IR Iran";6
"German DR";6
"Iran";6
"Bolivia";6
"Slovenia";6
"New Zealand";6
"El Salvador";6
"Senegal";5
"Wales";5
"Ukraine";5
"Slovakia";4
"Egypt";4
"Cuba";3
"rn"">Trinidad and Tobago""";3
"rn"">Serbia and Montenegro""";3
"Angola";3
"Czech Republic";3
"Togo";3
"Haiti";3
"Zaire";3
"Iraq";3
"rn"">United Arab Emirates""";3
"Serbia";3
"China PR";3
"rn"">Bosnia and Herzegovina""";3
"Canada";3
"Jamaica";3
"Kuwait";3
"Israel";3
"Dutch East Indies";1
